date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-03-01,0,0,0,,,,0,,,,1
2020-03-02,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-03,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-04,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-05,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-06,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-07,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-08,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-09,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-10,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-11,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-12,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-13,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-14,0,0,0,0.0,0.0,0.0,0,,,,1
2020-03-15,1,0,0,1.0,0.0,0.0,1,inf,,inf,1
2020-03-16,1,0,0,0.0,0.0,0.0,1,0.0,,0.0,1
2020-03-17,2,0,0,1.0,0.0,0.0,2,1.0,,inf,1
2020-03-18,3,0,0,1.0,0.0,0.0,3,0.5,,1.0,1
2020-03-19,3,0,0,0.0,0.0,0.0,3,0.0,inf,0.0,1
2020-03-20,3,0,0,0.0,0.0,0.0,3,0.0,0.3,,1
2020-03-21,8,0,0,5.0,0.0,0.0,8,1.6666666666666667,0.6333333333333334,inf,1
2020-03-22,10,0,0,2.0,0.0,0.0,10,0.25,0.4833333333333334,0.4,1
2020-03-23,15,0,0,5.0,0.0,0.0,15,0.5,0.4833333333333334,2.5,1
2020-03-24,20,0,0,5.0,0.0,0.0,20,0.3333333333333333,0.55,1.0,1
2020-03-25,30,0,0,10.0,0.0,0.0,30,0.5,0.65,2.0,1
2020-03-26,37,0,0,7.0,0.0,0.0,37,0.23333333333333334,0.36333333333333334,0.7,1
2020-03-27,42,0,0,5.0,0.0,0.0,42,0.13513513513513514,0.3403603603603603,0.7142857142857143,1
2020-03-28,46,0,0,4.0,0.0,0.0,46,0.09523809523809523,0.25940797940797944,0.8,1
2020-03-29,47,0,0,1.0,0.0,0.0,47,0.021739130434782608,0.19708913882826926,0.25,1
2020-03-30,49,0,0,2.0,0.0,0.0,49,0.0425531914893617,0.10559977712614162,2.0,1
2020-03-31,50,0,0,1.0,0.0,0.0,50,0.02040816326530612,0.06301474311253616,0.5,1
2020-04-01,50,0,0,0.0,0.0,0.0,50,0.0,0.03598771608550914,0.0,1
2020-04-02,51,0,0,1.0,0.0,0.0,51,0.02,0.020940097037890085,inf,1
2020-04-03,67,0,0,16.0,0.0,0.0,67,0.3137254901960784,0.07933736899014926,16.0,1
2020-04-04,73,0,0,6.0,0.0,0.0,73,0.08955223880597014,0.08873717845347094,0.375,1
2020-04-05,82,0,0,9.0,0.0,0.0,82,0.1232876712328767,0.10931308004698506,1.5,1
2020-04-06,89,1,0,7.0,1.0,0.0,88,0.08536585365853659,0.12638625077869237,0.7777777777777778,1
2020-04-07,93,2,0,4.0,1.0,0.0,91,0.0449438202247191,0.1313750148236362,0.5714285714285714,1
2020-04-08,97,2,0,4.0,0.0,0.0,95,0.043010752688172046,0.07723206732205491,1.0,1
2020-04-09,100,9,0,3.0,7.0,0.0,91,0.030927835051546393,0.06550718657117016,0.75,1
2020-04-10,103,10,0,3.0,1.0,0.0,93,0.03,0.04684965232459483,1.0,1
2020-04-11,106,10,0,3.0,0.0,0.0,96,0.02912621359223301,0.03560172431133411,1.0,1
2020-04-12,109,10,0,3.0,0.0,0.0,99,0.02830188679245283,0.03227333762488086,1.0,1
2020-04-13,111,11,0,2.0,1.0,0.0,100,0.01834862385321101,0.02734091185788865,0.6666666666666666,1
2020-04-14,112,15,0,1.0,4.0,0.0,97,0.009009009009009009,0.02295714664938117,0.5,1
2020-04-15,112,15,0,0.0,0.0,0.0,97,0.0,0.016957146649381173,0.0,1
2020-04-16,114,16,0,2.0,1.0,0.0,98,0.017857142857142856,0.014703332502363142,inf,1
2020-04-17,115,23,0,1.0,7.0,0.0,92,0.008771929824561403,0.010797341108784855,0.5,1
2020-04-18,115,23,0,0.0,0.0,0.0,92,0.0,0.0071276163381426534,0.0,1
2020-04-19,115,23,1,0.0,0.0,1.0,91,0.0,0.005325814536340852,,1
2020-04-20,116,24,1,1.0,1.0,0.0,91,0.008695652173913044,0.00706494497112346,inf,1
2020-04-21,117,26,1,1.0,2.0,0.0,90,0.008620689655172414,0.005217654330729372,1.0,1
2020-04-22,117,32,1,0.0,6.0,0.0,84,0.0,0.0034632683658170917,0.0,1
2020-04-23,117,36,1,0.0,4.0,0.0,80,0.0,0.0034632683658170917,,1
2020-04-24,118,41,1,1.0,5.0,0.0,76,0.008547008547008548,0.005172670075218801,inf,1
2020-04-25,118,44,1,0.0,3.0,0.0,73,0.0,0.003433539640436192,0.0,1
2020-04-26,118,44,1,0.0,0.0,0.0,73,0.0,0.0017094017094017096,,1
2020-04-27,118,46,1,0.0,2.0,0.0,71,0.0,0.0017094017094017096,,1
2020-04-28,119,46,1,1.0,0.0,0.0,72,0.00847457627118644,0.003404316963638998,inf,1
2020-04-29,120,48,1,1.0,2.0,0.0,71,0.008403361344537815,0.003375587523144851,1.0,1
2020-04-30,121,55,1,1.0,7.0,0.0,65,0.008333333333333333,0.005042254189811518,1.0,1
2020-05-01,126,56,1,5.0,1.0,0.0,69,0.04132231404958678,0.013306716999728874,5.0,1
2020-05-02,127,58,1,1.0,2.0,0.0,68,0.007936507936507936,0.014894018587030461,0.2,1
2020-05-03,128,58,1,1.0,0.0,0.0,69,0.007874015748031496,0.014773906482399471,1.0,1
2020-05-04,131,59,1,3.0,1.0,0.0,71,0.0234375,0.017780734213491908,3.0,1
2020-05-05,132,59,1,1.0,0.0,0.0,72,0.007633587786259542,0.01764078510407715,0.3333333333333333,1
2020-05-06,137,60,1,5.0,1.0,0.0,76,0.03787878787878788,0.016952079869917373,5.0,1
